S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,,,
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2025],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Adamantina,3500105,adamantinense,JOS&Eacute; CARLOS MARTINS TIVERON,411.987,34687,84.19,35673,100,0.790,8.33,313833384.8,290958010.1,49179.66,
Adolfo,3500204,adolfino,RICARDO DI GIORGIO ROBLES,211.055,4351,20.62,4505,97.46,0.730,-,50181541.52,43661787.44,49478.96,
Agua&iacute;,3500303,aguaiano,GILBERTO LUIZ MORAES SELBER,474.554,32072,67.58,32886,95.74,0.715,7.94,178612817.8,148772582.2,55308.14,
&Aacute;guas da Prata,3500402,pratense,CARLOS HENRIQUE FORTES DEZENA,142.673,7369,51.65,7463,100,0.781,17.54,61132118.93,64547784.11,36960.06,
&Aacute;guas de Lind&oacute;ia,3500501,lindoiense,GERALDO MANTOVANI FILHO,59.872,17930,298.21,18257,99.56,0.745,13.57,163353038.9,153149448.4,44680.12,
&Aacute;guas de Santa B&aacute;rbara,3500550,santa-barbarense,WILIAN JOS&Eacute; DE OLIVEIRA MEANA,404.463,7177,17.74,7460,98.73,0.757,-,75539600.88,64539490.17,52328.53,
&Aacute;guas de S&atilde;o Pedro,3500600,&aacute;gua-pedrense,JO&Atilde;O VICTOR BARBOZA,3.38,2780,769.66,2928,100,0.854,33.33,63967175.06,60456980.05,66687.04,
Agudos,3500709,agudense,RAFAEL LIMA FERNANDES,966.708,37680,38.98,38988,99.41,0.745,8.53,253890623,232147902.5,90653.09,
Alambari,3500758,alambariense,JO&Atilde;O PAULO DANTAS PINTO,159.6,6141,38.48,6373,99.59,0.712,-,46269803.4,41404870.36,26095.45,
Alfredo Marcondes,3500808,marcondense,CELSO PIRANI PASSOS,118.915,4445,37.38,4574,100,0.741,-,40469408.5,37671857.23,35576.36,
Altair,3500907,altairense,MARCO ANTONIO FERREIRA,313.007,3451,11.03,3467,99.21,0.687,41.67,43277037.31,37332658.89,61005.12,
Altin&oacute;polis,3501004,altinopolense,HUELDER DONIZETE MALAGUTTI FERREIRA,928.956,16818,18.10,17197,100,0.730,13.07,132980184.2,113555752.7,56281.23,
Alto Alegre,3501103,alto-alegrense,CARLOS SUSSUMI IVAMA,318.574,3841,12.06,3874,100,0.700,-,43706858.55,38756483.7,44883.13,
Alum&iacute;nio,3501152,aluminense,ANA PAULA DE CASSIA NETTO,83.619,17301,206.90,17607,99.55,0.766,17.24,176139873.7,168717241.4,198774.29,
&Aacute;lvares Florence,3501202,alvares florencense,ADILSON BATISTA LEITE,362.411,3915,10.80,3979,98.38,0.728,-,42395411.15,36851486.63,44852.67,
&Aacute;lvares Machado,3501301,machadense,LUIZ FRANCISCO BOIGUES,347.647,27255,78.40,28386,98.67,0.758,11.94,137502534.4,119633561.4,31545.46,
&Aacute;lvaro de Carvalho,3501400,carvalhense,ADILSON DE OLIVEIRA LOPES,153.662,4808,31.29,4901,100,0.688,62.5,36148145.26,33809957.04,14429.47,
Alvinl&acirc;ndia,3501509,alvinlandense,ANTONIO FERREIRA DE MORAES JUNIOR,84.879,2885,33.99,2919,97.9,0.722,-,31395901.61,28621964.75,28635.3,
Americana,3501608,americanense,FRANCISCO ANTONIO SARDELLI,133.912,237240,1771.61,247571,98.64,0.811,8.65,1467236513,1403835018,74188.86,
Am&eacute;rico Brasiliense,3501707,am&eacute;rico-brasiliense,TEREZINHA APARECIDA VIVEIROS DE SOUZA,122.958,33019,268.54,33708,98.03,0.751,16.3,190433743.9,172127189.8,45578.66,
Am&eacute;rico de Campos,3501806,americampense,RAFAEL GIMENEZ MARIOTO,252.876,5870,23.21,5981,100,0.745,-,48197355.01,42720088.82,29957.02,
Amparo,3501905,amparense,CARLOS ALBERTO MARTINS,445.323,68008,152.72,69792,98.88,0.785,5.55,554019302.5,485374609.4,98495.31,
Anal&acirc;ndia,3502002,analandense,SILVANA MARCIA PERIN CAMPBELL PENNA,325.953,4589,14.08,4694,99.42,0.754,19.23,58881840.58,54518990.82,58028.24,
Andradina,3502101,andradinense,MARIO CELSO LOPES,964.226,59783,62.00,61625,99.47,0.779,18.05,345384998.8,300905614.3,74685.78,
Angatuba,3502200,angatubense,NICOLAS BASILE ROCHEL,1028.104,24022,23.38,24573,100,0.719,9.4,167886919.7,149834474.7,73951.99,
Anhembi,3502309,anhembiense,JAIRO DE G&Oacute;IS,736.09,5674,7.70,5766,98.66,0.721,43.48,66831997.47,61895293.46,55541.76,
Anhumas,3502408,anhumense,ADAILTON CESAR MENOSSI,320.84,4023,12.54,4118,100,0.741,-,48206999.48,41041136.56,32904.69,
Aparecida,3502507,aparecidense,JOSE LUIZ RODRIGUES,120.89,32569,269.41,33141,98.8,0.755,26.32,218514508.9,210860025.7,42055.3,
